node_id,label,rung,class,family,unit,value,source
DB,BenchmarkSet,,Dispersion-Bound Dimers (12),,,,
HB,BenchmarkSet,,Hydrogen-Bonded Clusters (38),,,,
NCD,BenchmarkSet,,"Non-covalent Dimers (Difficult, 91)",,,,
ID,BenchmarkSet,,"Isomerisation Energies (Difficult, 155)",,,,
BH,BenchmarkSet,,Barrier Heights (206),,,,
NCED,BenchmarkSet,,"Non-covalent Dimers (Easy, 1744)",,,,
NCEC,BenchmarkSet,,"Non-covalent Clusters (Easy, 243)",,,,
TCE,BenchmarkSet,,"Thermochemistry (Easy, 947)",,,,
TCD,BenchmarkSet,,"Thermochemistry (Difficult, 258)",,,,
AE18,BenchmarkSet,,Absolute Atomic Energies,,,,
RG10,BenchmarkSet,,Rare-Gas Dimer PECs,,,,
H2O6Bind8,BenchmarkSet,,Water Hexamer Isomers,,,,
TA13,BenchmarkSet,,Radical-Solvent Complexes,,,,
Shields38,BenchmarkSet,,Water Clusters (2-10),,,,
Butanediol65,BenchmarkSet,,Conformational Equilibria,,,,
H2O16Rel5,BenchmarkSet,,Water 16-mer Structures,,,,
DIE60,BenchmarkSet,,Diene Isomerisation Energies,,,,
AlkAtom19,BenchmarkSet,,Alkane Atomization Energies,,,,
TAE140MR,BenchmarkSet,,Multi-Reference Atomization Energies,,,,
BHPERI26,BenchmarkSet,,Pericyclic Reactions,,,,
Grubbs,BenchmarkSet,,Grubbs Catalyst Model System,,,,
PDB12,BenchmarkSet,,Protein-DNA Complexes,,,,
Water2510,BenchmarkSet,,Water Dimer Configurations,,,,
NC15,BenchmarkSet,,Non-Covalent Interactions (Grid Test),,,,
MSE,Metric,,Mean Signed Error,kcal/mol,,,
MAD,Metric,,Mean Absolute Deviation,kcal/mol,,,
RMSD,Metric,,Root-Mean-Square Deviation,kcal/mol,,,
ω,Metric,,Range Separation Parameter,bohr⁻¹,,,
cx​,Metric,,Exact Exchange Fraction,%,,,
EBL,Metric,,Equilibrium Bond Length,Å,,,
EBE,Metric,,Equilibrium Binding Energy,kcal/mol,,,
VR_HF_AE_MSE,ValidationResult,,,kcal/mol,112.79,,
VR_SPW92_AE_MSE,ValidationResult,,,kcal/mol,-58.11,,
VR_PBE_AE_MSE,ValidationResult,,,kcal/mol,-12.17,,
VR_TPSS_AE_MSE,ValidationResult,,,kcal/mol,-2.72,,
VR_PBE0_AE_MSE,ValidationResult,,,kcal/mol,1.12,,
VR_TPSSh_AE_MSE,ValidationResult,,,kcal/mol,1.46,,
VR_PBED3BJ_AE_MSE,ValidationResult,,,kcal/mol,-13.13,,
VR_TPSSD3BJ_AE_MSE,ValidationResult,,,kcal/mol,-3.91,,
VR_PBE0D3BJ_AE_MSE,ValidationResult,,,kcal/mol,0.31,,
VR_TPSShD3BJ_AE_MSE,ValidationResult,,,kcal/mol,0.39,,
VR_HF_DB_MSE,ValidationResult,,,kcal/mol,6.01,,
VR_SPW92_DB_MSE,ValidationResult,,,kcal/mol,-1.1,,
VR_PBE_DB_MSE,ValidationResult,,,kcal/mol,3.36,,
VR_TPSS_DB_MSE,ValidationResult,,,kcal/mol,4.67,,
VR_PBE0_DB_MSE,ValidationResult,,,kcal/mol,3.37,,
VR_TPSSh_DB_MSE,ValidationResult,,,kcal/mol,4.55,,
VR_PBED3BJ_DB_MSE,ValidationResult,,,kcal/mol,-0.11,,
VR_TPSSD3BJ_DB_MSE,ValidationResult,,,kcal/mol,0.23,,
VR_PBE0D3BJ_DB_MSE,ValidationResult,,,kcal/mol,-0.02,,
VR_TPSShD3BJ_DB_MSE,ValidationResult,,,kcal/mol,0.18,,
VR_HF_HB_MSE,ValidationResult,,,kcal/mol,18.29,,
VR_SPW92_HB_MSE,ValidationResult,,,kcal/mol,-30.74,,
VR_PBE_HB_MSE,ValidationResult,,,kcal/mol,-1.26,,
VR_TPSS_HB_MSE,ValidationResult,,,kcal/mol,3.21,,
VR_PBE0_HB_MSE,ValidationResult,,,kcal/mol,0.2,,
VR_TPSSh_HB_MSE,ValidationResult,,,kcal/mol,3.52,,
VR_PBED3BJ_HB_MSE,ValidationResult,,,kcal/mol,-5.86,,
VR_TPSSD3BJ_HB_MSE,ValidationResult,,,kcal/mol,-2.44,,
VR_PBE0D3BJ_HB_MSE,ValidationResult,,,kcal/mol,-3.86,,
VR_TPSShD3BJ_HB_MSE,ValidationResult,,,kcal/mol,-1.77,,
VR_PBE_AE_MAD,ValidationResult,,,kcal/mol,13.61,,
VR_PBE0_HB_MAD,ValidationResult,,,kcal/mol,0.67,,
VR_PBE_HB_MAD,ValidationResult,,,kcal/mol,1.3,,
VR_B3LYP_cx,ValidationResult,,,%,20,,
VR_PBE0D3BJ_cx,ValidationResult,,,%,25,,
VR_oB97XD_cx,ValidationResult,,,%,22.2–100,,
VR_oB97XD_omega,ValidationResult,,,bohr⁻¹,0.2,,
VR_oB97XV_cx,ValidationResult,,,%,16.7–100,,
VR_oB97XV_omega,ValidationResult,,,bohr⁻¹,0.3,,
VR_TPSShD3BJ_cx,ValidationResult,,,%,10,,
VR_M062X_cx,ValidationResult,,,%,54,,
VR_MN15_cx,ValidationResult,,,%,44,,
VR_oB97MV_cx,ValidationResult,,,%,15–100,,
VR_oB97MV_omega,ValidationResult,,,bohr⁻¹,0.3,,
VR_M062X_TCD_RMSD,ValidationResult,,,kcal/mol,6.88,,
VR_MN15_TCD_RMSD,ValidationResult,,,kcal/mol,5.63,,
VR_oB97MV_TCD_RMSD,ValidationResult,,,kcal/mol,5.28,,
VR_PBE_TCE_RMSD,ValidationResult,,,kcal/mol,9.22,,
VR_SPW92_TCE_RMSD,ValidationResult,,,kcal/mol,42.29,,
VR_HF_TCE_RMSD,ValidationResult,,,kcal/mol,80.89,,
VR_TPSS_TCE_RMSD,ValidationResult,,,kcal/mol,5.94,,
VR_B3LYP_TCD_RMSD,ValidationResult,,,kcal/mol,6.84,,
VR_TPSS_TCD_RMSD,ValidationResult,,,kcal/mol,6.78,,
VR_BLYPD3BJ_NCED_RMSD,ValidationResult,,,kcal/mol,0.34,,
VR_BLYPD3BJ_NCEC_RMSD,ValidationResult,,,kcal/mol,2.18,,
VR_PBE_NCEC_RMSD,ValidationResult,,,kcal/mol,1.55,,
VR_PBED3BJ_NCEC_RMSD,ValidationResult,,,kcal/mol,6.47,,
VR_M062X_TA13_RMSD,ValidationResult,,,kcal/mol,1.38,,
VR_oB97XV_Butanediol65_RMSD,ValidationResult,,,kcal/mol,0.04,,
VR_oB97MV_Butanediol65_RMSD,ValidationResult,,,kcal/mol,0.04,,
VR_B97MrV_Butanediol65_RMSD,ValidationResult,,,kcal/mol,0.17,,
VR_oB97MV_H2O16Rel5_RMSD,ValidationResult,,,kcal/mol,0.04,,
VR_oB97XD_H2O16Rel5_RMSD,ValidationResult,,,kcal/mol,0.11,,
VR_oB97MV_Water2510_RMSD,ValidationResult,,,kcal/mol,0.16,,
VR_M062XD30_Water2510_RMSD,ValidationResult,,,kcal/mol,0.29,,
VR_BLYPD30_Water2510_RMSD,ValidationResult,,,kcal/mol,0.63,,
VR_B97MrV_Water2510_RMSD,ValidationResult,,,kcal/mol,0.35,,
VR_oB97XV_Water2510_RMSD,ValidationResult,,,kcal/mol,0.29,,
"The M06 suite of density functionals for main group thermochemistry, thermochemical kinetics, noncovalent interactions, excited states, and transition elements: two new functionals and systematic testing of four M06-class functionals and 12 other functionals",Paper,,,,,,
B98,Functional,,,,,,
AE109/05,BenchmarkSet,,Atomization Energies,,,,
IP13/3,BenchmarkSet,,Ionization Potentials,,,,
EA13/3,BenchmarkSet,,Electron Affinities,,,,
PA8,BenchmarkSet,,Proton Affinities,,,,
SD143,BenchmarkSet,,Standard Data,,,,
ABDE4/05,BenchmarkSet,,Alkyl Bond Dissociation Energies,,,,
πTC13,BenchmarkSet,,π system thermochemistry,,,,
π IE3,BenchmarkSet,,π system isomerization energies,,,,
PA-P5,BenchmarkSet,,Proton affinities of conjugated polyenes,,,,
PA-SB5,BenchmarkSet,,Proton affinities of conjugated Schiff bases,,,,
HC7,BenchmarkSet,,Hydrocarbon thermochemistry,,,,
DC10,BenchmarkSet,,Difficult cases,,,,
DBH76,BenchmarkSet,,Diverse barrier heights,,,,
HATBH12/05,BenchmarkSet,,Heavy-atom transfer,,,,
NSBH16/05,BenchmarkSet,,Nucleophilic substitution,,,,
UABH10/05,BenchmarkSet,,Unimolecular and association,,,,
HTBH38/04,BenchmarkSet,,Hydrogen transfer,,,,
NCIE53,BenchmarkSet,,Noncovalent interaction energies,,,,
NCCE31/05,BenchmarkSet,,Noncovalent complexes,,,,
HB6/04,BenchmarkSet,,Hydrogen bonding,,,,
CT7/04,BenchmarkSet,,Charge-transfer complexes,,,,
DI6/04,BenchmarkSet,,Dipole-interaction complexes,,,,
WI7/05,BenchmarkSet,,Weak interaction complexes,,,,
PPS5/05,BenchmarkSet,,π–π stacking,,,,
JHB7,BenchmarkSet,,S22 Hydrogen bonding subset,,,,
JDL8,BenchmarkSet,,S22 Predominantly dispersion-like subset,,,,
JM7,BenchmarkSet,,S22 Mixed subset,,,,
TME53,BenchmarkSet,,Transition metal energetics,,,,
TMAE9/05,BenchmarkSet,,TM atomization energies,,,,
MLBE21/05,BenchmarkSet,,Metal ligand bond energies,,,,
3dTMRE18/06,BenchmarkSet,,3d TM reaction energies,,,,
MAEE5,BenchmarkSet,,Metal atom excitation energies,,,,
AE17,BenchmarkSet,,Atomic Energies,,,,
TC177,BenchmarkSet,,Thermochemistry combined database,,,,
TK253,BenchmarkSet,,Thermochemistry + Kinetics combined database,,,,
TKNC306,BenchmarkSet,,TC + Kinetics + NC combined database,,,,
ES44,BenchmarkSet,,Electronic spectroscopy,,,,
VRES41,BenchmarkSet,,Valence + Rydberg excited states,,,,
VES21,BenchmarkSet,,Valence excited states,,,,
RES20,BenchmarkSet,,Rydberg excited states,,,,
CTES3,BenchmarkSet,,Charge transfer excited states,,,,
MGE350,BenchmarkSet,,Main group energetics,,,,
TMRE48,BenchmarkSet,,Transition metal reaction energies,,,,
MGBL19,BenchmarkSet,,Main-group bond lengths,,,,
MLBL13,BenchmarkSet,,Metal–ligand bond lengths,,,,
TMBL8,BenchmarkSet,,TM metal–metal bond lengths,,,,
TMBL7,BenchmarkSet,,TM metal–metal bond lengths (excl. Cr2),,,,
F38/06,BenchmarkSet,,Harmonic frequencies,,,,
ZPVE15/06,BenchmarkSet,,Zero-point vibrational energies,,,,
MUEPB,Metric,,Mean Unsigned Error per Bond,kcal/mol per bond,,,
MUE,Metric,,Mean Unsigned Error (Energy),kcal/mol,,,
BMUE,Metric,,Balanced Mean Unsigned Error,kcal/mol,,,
MMUE,Metric,,Mean Mean Unsigned Error,kcal/mol,,,
WMUE (reduced units),Metric,,Weighted Mean Unsigned Error,,,,
MUE (eV),Metric,,Mean Unsigned Error (Excitation Energy),eV,,,
MUE (Å),Metric,,Mean Unsigned Error (Bond Length),Å,,,
Scaling Factor,Metric,,,,,,
VR_M062X_SD143_MUE,ValidationResult,,,kcal/mol,0.82,,
VR_M052X_SD143_MUE,ValidationResult,,,kcal/mol,0.94,,
VR_BMK_SD143_MUE,ValidationResult,,,kcal/mol,0.94,,
VR_M06_SD143_MUE,ValidationResult,,,kcal/mol,0.99,,
VR_B3LYP_SD143_MUE,ValidationResult,,,kcal/mol,1.39,,
VR_M06L_SD143_MUE,ValidationResult,,,kcal/mol,1.39,,
VR_PBE_SD143_MUE,ValidationResult,,,kcal/mol,2.91,,
VR_HF_SD143_MUE,ValidationResult,,,kcal/mol,27.76,,
VR_M062X_ABDE4_MUE,ValidationResult,,,kcal/mol,0.74,,
VR_M052X_ABDE4_MUE,ValidationResult,,,kcal/mol,0.61,,
VR_PBE_ABDE4_MUE,ValidationResult,,,kcal/mol,3.98,,
VR_M06L_ABDE4_MUE,ValidationResult,,,kcal/mol,5.54,,
VR_B3LYP_ABDE4_MUE,ValidationResult,,,kcal/mol,8.62,,
VR_HF_ABDE4_MUE,ValidationResult,,,kcal/mol,35.17,,
VR_M062X_piTC13_BMUE,ValidationResult,,,kcal/mol,1.4,,
VR_M06HF_piTC13_BMUE,ValidationResult,,,kcal/mol,1.9,,
